SO Number,Date,Installation Complete,Machine Details,SerialNumber,CustomerName,Location,Region,ponumber,Ressubassembly,Resassembly,Res QA,Res Dispatch,Invoice Date,Invoice Number,Dispatch File,REMARKS,IncoTerms,SO_Date,PO_Date
6803002768,26-Nov-18,Out Of Warranty,CPIR XL,VFSH1118033,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,nikhil patel,BUNTY KUNDAPUR,30-Nov-18,DO1890000275,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,CPIR XL,VFSH1118032,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,nikhil patel,BUNTY KUNDAPUR,30-Nov-18,DO1890000275,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,CPIR XL,VFSH1118031,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,nikhil patel,BUNTY KUNDAPUR,30-Nov-18,DO1890000275,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,CPIR XL,VFSH1118030,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,nikhil patel,BUNTY KUNDAPUR,30-Nov-18,DO1890000275,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,VFSH1118029,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,nikhil patel,BUNTY KUNDAPUR,30-Nov-18,DO1890000275,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,CPIR XL,VFSH1118028,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,nikhil patel,BUNTY KUNDAPUR,30-Nov-18,DO1890000275,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,VFSH1118027,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,nikhil patel,BUNTY KUNDAPUR,30-Nov-18,DO1890000275,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,CPIR XL,VFSH1118026,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,nikhil patel,BUNTY KUNDAPUR,30-Nov-18,DO1890000275,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,PCCH1118060,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,NP,BUNTY KUNDAPUR,28-Nov-18,DO1890000269,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,PCCH1118059,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,NP,BUNTY KUNDAPUR,28-Nov-18,DO1890000269,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,PCCH1118058,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,NP,BUNTY KUNDAPUR,28-Nov-18,DO1890000269,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,PCCH1118057,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,NP,BUNTY KUNDAPUR,28-Nov-18,DO1890000269,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,PCCH1118056,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,NP,BUNTY KUNDAPUR,28-Nov-18,DO1890000269,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,PCCH1118055,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,NP,BUNTY KUNDAPUR,28-Nov-18,DO1890000269,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,PCCH1118054,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,NP,BUNTY KUNDAPUR,28-Nov-18,DO1890000269,,NA,NA,24-Oct-18,26-Sep-18
6803002768,26-Nov-18,Out Of Warranty,AFC,PCCH1118053,CADILA,GOA,West,4490103857,Akshay Sankpal,Deep Srivastava,NP,BUNTY KUNDAPUR,28-Nov-18,DO1890000269,,NA,NA,24-Oct-18,26-Sep-18
6803002768,28-Nov-18,Out Of Warranty,pallet,VFTH1118081,CADILA,GOA,West,4490103857,AKSHAY,DEEP,NP,Jairaj,28-Nov-18,DO1890000269,,NA,NA,24-Oct-18,26-Sep-18
6803002776,12-Nov-18,Out Of Warranty,2BPO,CISH1118027,pam-pac,pune,West,6110313032,RAVI RATHOD,SHANKAR JHA,NP,BUNTY KUNDAPUR,16-Nov-18,DO1890000250,,NA,NA,25-Oct-18,19-Oct-18
6803002778,12-Nov-18,Out Of Warranty,BIS,BISH1118039,PAM-PAC,PUNE,West,6110313033,RAVI RATHOD,SHANKAR JHA,NP,BUNTY KUNDAPUR,16-Nov-18,DO1890000251,,NA,NA,26-Oct-18,19-Oct-18
6803002782,02-Nov-18,Out Of Warranty,KIOSK(Pallet ),VFTH1118075,Mashtek,Russian,EU/RU,PO#1-2018,chetan patil,biswajit,NP,BUNTY KUNDAPUR,02-Nov-18,681000005,,NA,NA,30-Oct-18,31-Oct-18
6803002782,02-Nov-18,Out Of Warranty,CPIR Nano,VFSHN1118006,Mashtek,Russian,EU/RU,PO#1-2018,Chetan Patil,Biswa,NP,BUNTY KUNDAPUR,02-Nov-18,681000005,,NA,NA,30-Oct-18,31-Oct-18
6803002782,02-Nov-18,Out Of Warranty,AFC multi camera motorised(Collation),PCCH1118050,Mashtek,Russian,EU/RU,PO#1-2018,Chetan Patil,Biswa,NP,BUNTY KUNDAPUR,02-Nov-18,681000005,,NA,NA,30-Oct-18,31-Oct-18
6803002783,25-Dec-18,Out Of Warranty,BIS,BISH1218054,Natulab,Brazil,ROW,Natulab/Brazil/027R1-002/18-19,Ravi Rathod,Shankar Jha,NP,BUNTY KUNDAPUR,27-Dec-18,681000015,,NA,NA,30-Oct-18,31-Aug-18
6803002784,15-Dec-18,Out Of Warranty,Qualishield BS20,BISH1218050,China National,Beijing,ROW,2018-10-09-Part II,Ravi Rathod,Shankar Jha,BHARAT RATHOD,BUNTY KUNDAPUR,30-Jan-19,681000023,,NA,NA,31-Oct-18,09-Oct-18
6803002784,14-Feb-19,Out Of Warranty,BIS BS20 OEM Hood,bish0219076,China National,Beijing China,ROW,09-10-2018,Aniket Jadhav,Shankar Jha,BHARAT RATHOD,BUNTY KUNDAPUR,20-Mar-19,681000042,,NA,NA,31-Oct-18,09-Oct-18
6803002785,03-Dec-18,Out Of Warranty,KIOSK,VFTH1218082,"AJANTA, PAITHAN",AURONGABAD,West,LOI,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,,,,,,31-Oct-18,08-Oct-18
6803002785,03-Dec-18,Out Of Warranty,AFC,PCCH1218061,"AJANTA, PAITHAN",AURONGABAD,West,LOI,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,04-Jan-19,DO1890000309,,NA,NA,31-Oct-18,08-Oct-18
6803002785,05-Dec-18,Out Of Warranty,300 DEGREE,360H1218004,"AJANTA, PAITHAN",AURONGABAD,West,LOI,CHETAN PATIL,SUDHIR,BHARAT RATHOD,BUNTY KUNDAPUR,29-Dec-18,DO1890000300,,NA,NA,31-Oct-18,08-Oct-18
6803002785,29-Dec-18,Out Of Warranty,AFC,PCCH1218073,AJANTA,PAITHAN,West,4500006253,Akshay Sankpal,Deep Srivastava,bharat rathod,bk,,,,,,31-Oct-18,02-Nov-18
6803002785,30-Dec-18,Out Of Warranty,KIOSK,VFTH1218086,AJANTA,PAITHAN,West,LOI,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,29-Dec-18,DO1890000300,,NA,NA,31-Oct-18,08-Oct-18
6803002785,30-Dec-18,Out Of Warranty,LIS,VFPH1218019,AJANTA PHARMA L,AURANGABAD,West,LOI,CHETAN PATIL,DEEP,NP,BUNTY KUNDAPUR,29-Dec-18,DO1890000300,,NA,NA,31-Oct-18,08-Oct-18
6803002785,30-Dec-18,Out Of Warranty,AFC,PCCH1218072,AJANTA,PAITHAN,West,LOI,CHETAN PATIL,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,29-Dec-18,DO1890000300,,NA,NA,31-Oct-18,08-Oct-18
6803002785,08-Jan-19,Out Of Warranty,AFC,PCCH0119077,AJANTA,PAITHAN,West,LOI,CHETAN PATIL,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,25-Jan-19,DO1890000340,,NA,NA,31-Oct-18,08-Oct-18
6803002785,10-Jan-19,Out Of Warranty,AFC,PCCH0119078,AJANTA,PAITHAN,West,LOI,CHETAN PATIL,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,25-Jan-19,DO1890000340,,NA,NA,31-Oct-18,08-Oct-18
6803002785,11-Jan-19,Out Of Warranty,CPIR XL,VFSH0119046,AJANTA,PAITHAN,West,LOI,CHETAN PATIL,CHETAN JADHAV,NP,BUNTY,27-Mar-19,DO1890000418,,NA,NA,31-Oct-18,08-Oct-18
6803002785,29-Jan-19,Out Of Warranty,AFC,PCCH0119082,AJANTA,PAITHAN,West,4500006253,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,25-Jan-19,DO1890000340,,NA,NA,31-Oct-18,08-Oct-18
6803002785,29-Jan-19,Out Of Warranty,AFC,PCCH0119081,"AJANTA, PAITHAN",PAITHAN,West,4500006253,CHETAN PATIL,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,25-Jan-19,DO1890000340,,NA,NA,31-Oct-18,08-Oct-18
6803002785,13-Feb-19,Out Of Warranty,AFC,PCCH0219086,AJANTA,Aurangabad,West,4500006253,Chetan Patil,Sudhir Sane,NP,BUNTY,27-Mar-19,DO1890000418,,NA,NA,31-Oct-18,02-Nov-18
6803002785,25-Mar-19,Out Of Warranty,AFC,PCCH0319116,Ajanta Pharma L,Paithan,West,4500006253,CHETAN PATIL,Akshay,Rupesh,BUNTY,27-Mar-19,DO1890000418,,NA,NA,31-Oct-18,02-Nov-18
6803002785,25-Mar-19,Out Of Warranty,AFC,PCCH0319115,Ajanta Pharma L,Paithan,West,4500006253,CHETAN PATIL,AKSHAY,Rupesh,BUNTY,27-Mar-19,DO1890000418,,NA,NA,31-Oct-18,02-Nov-18
6803002785,26-Mar-19,Out Of Warranty,AFC,PCCH0319118,Ajanta Pharma L,Paithan,West,4500006253,YOGENDRA,Akshay,Rupesh,BUNTY,27-Mar-19,DO1890000418,,NA,NA,31-Oct-18,02-Nov-18
6803002785,26-Mar-19,Out Of Warranty,AFC,PCCH0319117,Ajanta Pharma L,Paithan,West,4500006253,YOGENDRA,Akshay,Rupesh,BUNTY,27-Mar-19,DO1890000418,,NA,NA,31-Oct-18,02-Nov-18
6803002793,22-Dec-18,Out Of Warranty,2BPO for K120,CISH1218032,Torrent Pharma,East Sikkim,East,4800031548,Ravi Rathod,Shankar Jha,NP,Bunty Kundapur,24-Dec-18,DO1890000297,,NA,NA,06-Nov-18,10-Oct-18
6803002793,22-Dec-18,Out Of Warranty,BIS+L.F,BISH1218053,Torrent Pharma,East Sikkim,East,4800031548,Ravi Rathod,Shankar Jha,NP,Bunty Kundapur,24-Dec-18,DO1890000297,,NA,NA,06-Nov-18,10-Oct-18
6803002793,22-Dec-18,Out Of Warranty,BIS + L.F,BISH1218052,Torrent Pharma,East Sikkim,East,4800031548,Ravi Rathod,Shankar Jha,NP,Bunty Kundapur,24-Dec-18,DO1890000297,,NA,NA,06-Nov-18,10-Oct-18
6803002793,22-Dec-18,Out Of Warranty,BIS for Rotovac 210V,BISH1218051,Torrent Pharma,East Sikkim,East,4800031548,Ravi Rathod,Shankar Jha,NP,Bunty Kundapur,24-Dec-18,DO1890000297,,NA,NA,06-Nov-18,10-Oct-18
6803002793,09-Jan-19,Out Of Warranty,2BPO,CISH0119035,TORRENT PHARMA,EAST SIKKIM,East,4800031548,Ravi Rathod,Shankar Jha,Bharat Rathod,BUNTY,15-Jan-19,DO1890000321,,NA,NA,06-Nov-18,10-Oct-18
6803002794,22-Dec-18,Out Of Warranty,CPIR_XL,VFSH1218035,AJANTA,GUWAHATI,East,LOI,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,04-Jan-19,DO1890000309,,NA,NA,12-Nov-18,04-Oct-18
6803002794,22-Dec-18,Out Of Warranty,AFC,PCCH1218066,AJANTA,GUWAHATI,East,LOI,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,04-Jan-19,DO1890000309,,NA,NA,12-Nov-18,04-Oct-18
6803002794,15-Jan-19,Out Of Warranty,CPIR XL,VFSH1218040,AJANTA PHARMA L,GUWAHATI,East,4500006397,AKSHAY,DEEP,BHARAT RATHOD,BUNTY KUNDAPUR,22-Jan-19,DO1890000336,,NA,NA,11-Nov-18,22-Nov-18
6803002794,15-Jan-19,Out Of Warranty,CPIR XL,VFSH1218039,AJANTA PHARMA L,GUWAHATI,East,4500006397,AKSHAY,DEEP,BHARAT RATHOD,BUNTY KUNDAPUR,22-Jan-19,DO1890000336,,NA,NA,12-Nov-18,22-Nov-18
6803002794,15-Jan-19,Out Of Warranty,CPIR XL,VFSH1218038,AJANTA PHARMA L,GUWAHATI,East,4500006397,AKSHAY,DEEP,BHARAT RATHOD,BUNTY KUNDAPUR,22-Jan-19,DO1890000336,,NA,NA,12-Nov-18,22-Nov-18
6803002794,19-Feb-19,Out Of Warranty,AFC,PCCH0219091,Ajanta Pharma L,Guwahati,East,45000006397,Kondiba,Akshay,NP,BUNTY KUNDAPUR,26-Feb-19,DO1890000380,,NA,NA,12-Nov-18,22-Nov-18
6803002794,19-Feb-19,Out Of Warranty,AFC,PCCH0219090,Ajanta Pharma L,Guwahati,East,45000006397,Kondiba,Akshay,NP,BUNTY KUNDAPUR,26-Feb-19,DO1890000380,,NA,NA,12-Nov-18,22-Nov-18
6803002794,20-Feb-19,Out Of Warranty,AFC,PCCH0219092,Ajanta Pharma L,Guwahati,East,45000006397,Kondiba,Akshay,NP,BUNTY KUNDAPUR,,,,,,12-Nov-18,22-Nov-18
6803002794,21-Feb-19,Out Of Warranty,AFC,PCCH0219093,Ajanta Pharma L,Guwahati,East,45000006397,Kondiba,Akshay,NP,BUNTY KUNDAPUR,26-Feb-19,DO1890000380,,NA,NA,12-Nov-18,22-Nov-18
6803002795,28-Mar-19,Out Of Warranty,CPIR_Nano,VFSHN0319008,PANG PHARMA,"CHINA, SHANGHAI",ROW,CSH-P004-20180813 PART -B,YOGENDER,DEEP,Rupesh,bunty,29-Feb-20,681000133,,NA,NA,12-Nov-18,13-Aug-18
6803002795,28-Mar-19,Out Of Warranty,AFC,PCCH0319119,PANG PHARMA,"CHINA, SHANGHAI",ROW,CSH-P004-20180813 PART B,YOGENDER,DEEP,BHARAT,BUNTY,29-Feb-20,PCCH0319119,,NA,NA,12-Nov-18,13-Aug-18
6803002798,11-Mar-19,Out Of Warranty,CPIR XL,VFSH1218042,Pang Pharma,china,ROW,CSH-P004-20180813(PART A),AKSHAY,DEEP,NP,BUNTY KUNDAPUR,11-Mar-19,681000037,,NA,NA,12-Dec-18,13-Aug-18
6803002798,11-Mar-19,Out Of Warranty,CPIR XL,PCCH0119079,Pang Pharma,china,ROW,CSH-P004-20180813 PART A,AKSHAY,DEEP,BHARAT RATHOD,BUNTY KUNDAPUR,11-Mar-19,681000037,,NA,NA,12-Nov-18,13-Aug-18
6803002799,19-Dec-18,Out Of Warranty,CPIRVS,CPIRVS1218007,PAR FORMULATION,CHENNAI,South,18000522/OC,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,26-Dec-18,DO1890000298,,NA,NA,14-Nov-18,31-Oct-18
6803002800,07-Dec-18,Out Of Warranty,BIS,BISH1218049,ACG PAM-PAC,Pune,West,6110315018,Aniket Jadhav,Shankar Jha,nikhil,BUNTY KUNDAPUR,10-Dec-18,DO1890000280,,NA,NA,11/16/2018,12-04-2018
6803002803,07-Dec-18,Out Of Warranty,BIS for BQS,BISH1218048,Kwality Pharma,Amritsar,North,KPL/EG/18-19/338,Ravi Rathod,Shankar Jha,NP,BUNTY KUNDAPUR,21-Dec-18,DO1890000287,,NA,NA,19-Nov-18,25-Oct-18
6803002807,08-Jan-19,Out Of Warranty,CPIR XL,VFSH1218037,Hayat,Jordan,ROW,HPI/2018/POS/CGO/00260,Akshay Sankpal,Deep Srivastava,Bharat Rathod,BUNTY,,,,,,21-Nov-18,13-Sep-18
6803002812,17-Jan-19,Out Of Warranty,BIS,BISH0119059,Ajanta Pharma,Guwwahati,East,4500006105,Ravi Rathod,Shankar Jha,Bharat Rathod,BUNTY,23-Jan-19,DO1890000338,,NA,NA,26-Nov-18,26-Oct-18
6803002812,17-Jan-19,Out Of Warranty,BIS,BISH0119058,Ajanta Pharma,Guwahati,East,4500006105,Ravi Rathod,Shankar Jha,Bharat,BUNTY,23-Jan-19,DO1890000338,,NA,NA,26-Nov-18,26-Oct-18
6803002814,08-Mar-19,Out Of Warranty,TE (V3),CS160319036,PHARMVIT,CROATIA,EU/RU,PHARMVIT PVL-3318,CHETAN PATIL,CHETAN JADHAV/GILBERT,BHARAT RATHOD,BUNTY KUNDAPUR,23-Mar-19,681000046,,NA,NA,29-Nov-18,01-Oct-18
6803002815,04-Feb-19,Out Of Warranty,Kiosk (scanner based collation),VFTH0219095,Biological,TELANGANA,South,4500004886,AKSHAY,CHETAN JADHAV,Nikhil,BUNTY KUNDAPUR,21-Feb-19,DO1890000378,,NA,NA,30-Nov-18,23-Nov-18
6803002815,04-Feb-19,Out Of Warranty,Pallet,VFTH0219094,Biological,TELANGANA,South,4500004886,AKSHAY,CHETAN JADHAV,Nikhil,BUNTY KUNDAPUR,21-Feb-19,DO1890000378,,NA,NA,30-Nov-18,23-Nov-18
6803002815,04-Feb-19,Out Of Warranty,CPIR XL,VFSH1218041,Biological,TELANGANA,South,4500004886,AKSHAY,DEEP,NP,BUNTY,28-Feb-19,DO1890000387,,NA,NA,30-Nov-18,23-Nov-18
6803002815,12-Feb-19,Out Of Warranty,AFC,PCCH0219085,BIOLOGICAL E,HYDERABAD,South,4500004886,CHETAN PATIL,CHETAN JADHAV,Nikhil,BUNTY KUNDAPUR,21-Feb-19,DO1890000378,,NA,NA,30-Nov-18,23-Nov-18
6803002815,12-Feb-19,Out Of Warranty,TE (V5),CS170219020,BIOLOGICAL E,HYDERABAD,South,4500004886,CHETAN PATIL,CHETAN JADHAV/GILBERT,Nikhil,BUNTY KUNDAPUR,21-Feb-19,DO1890000378,,NA,NA,30-Nov-18,23-Nov-18
6803002816,19-Dec-18,Out Of Warranty,1BPO,CISH1218031,Ajanta Pharma,Aurangabad,West,4500006632,Ravi Rathod,Shankar Jha,NP,BUNTY,04-Jan-19,DO1890000310,,NA,NA,6803002816,11-Dec-18
6803002819,31-Dec-18,Out Of Warranty,CPIRXL COVEYOR ONLY,VFSH1218043,LUPIN,JAMMU,North,3400120821,AKSHAY,DEEP,NP,BUNTY KUNDAPUR,31-Dec-18,DO1890000303,,NA,NA,03-Dec-18,31-Oct-18
6803002820,31-Dec-18,Out Of Warranty,CPIR XL,VFSH1218044,LUPIN,AURANGABAD,West,3400120971,AKSHAY,DEEP,NP,BUNTY KUNDAPUR,31-Dec-18,DO1890000302,,NA,NA,03-Dec-18,03-Nov-18
6803002821,18-Jan-19,Out Of Warranty,CPIR VS,CPIRVS0119008,Biological,hyderabad,South,4500004887,AKSHAY,DEEP,BHARAT RATHOD,BUNTY KUNDAPUR,27-Feb-19,DO1890000381,,NA,NA,05-Dec-18,23-Nov-18
6803002822,05-Jan-19,Out Of Warranty,BPO,CISH0119034,ACG Pam-Pac,Pune,West,6110314920,Grinold,Shankar Jha,NP,BUNTY,08-Jan-19,DO1890000312,,NA,NA,05-Dec-18,30-Nov-18
6803002823,09-Jan-19,Out Of Warranty,BIS OEM BS20,BISH0119057,SHIJIAZHUANG,CHINA,ROW,181130_DEYA001,Aniket Jadhav,Shankar Jha,NP,BUNTY,14-Jan-19,681000016,,NA,NA,06-Dec-18,30-Nov-18
6803002823,23-Jan-19,Out Of Warranty,BIS OEM BS30,BISH0119060,SHIJIAZHUANG,China,ROW,181130-DEYA001,Aniket Jadhav,Shankar Jha,NP,BUNTY KUNDAPUR,25-Jan-19,681000020,,NA,NA,06-Dec-18,30-Nov-18
6803002825,31-Dec-18,Out Of Warranty,AFC,PCCH1218074,Gravity pharma,HYDRABAD,South,GPL/GPU/PO/2332/2018-19/EXP,CHETAN PATIL,SUDHIR,BHARAT RATHOD,BUNTY KUNDAPUR,31-Dec-18,DO1890000304,,NA,NA,12-Jun-18,23-Nov-18
6803002825,21-Jan-19,Out Of Warranty,LIS,VFPH0119024,Graviti Pharma,TELANGANA,South,GPL/GPU/PO/2332/2018-19/EXP,AKSHAY,DEEP,nikhil patel,BUNTY KUNDAPUR,24-Jan-19,DO1890000339,,NA,NA,06-Dec-18,23-Nov-18
6803002830,31-Dec-18,Out Of Warranty,CPIR XL,VFSH1218045,LUPIN,GOA,West,PO,Chetan Patil,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,31-Dec-18,DO1890000302,,NA,NA,04-Dec-18,10-Dec-18
6803002833,17-Jan-19,Out Of Warranty,2BPO,CISH0119036,Ipca Labs,Silvassa,AMD,ER1801430-Athal,Ravi Rathod,Shankar Jha,BR,BUNTY KUNDAPUR,22-Jan-19,DO1890000334,,NA,NA,14-Dec-18,05-Dec-18
6803002839,30-Jan-19,Out Of Warranty,KIOSK PALLET,VFTH1218089,Sanofi Lactose,VADODARA,AMD,E001630183,CHETAN PATIL,CHETAN JADHAV,BHARAT RATHOD,BUNTY KUNDAPUR,31-Jan-19,DO1890000358,,NA,NA,02-Jan-19,14-Dec-18
6803002839,30-Jan-19,Out Of Warranty,AFC,PCCH0119076,Sanofi Lactose,VADODARA,AMD,E001630183,CHETAN PATIL,CHETAN JADHAV,BHARAT RATHOD,BUNTY KUNDAPUR,31-Jan-19,DO1890000358,,NA,NA,02-Jan-19,14-Dec-18
6803002839,30-Jan-19,Out Of Warranty,TE (V5),CS171218017,Sanofi Lactose,VADODARA,AMD,E001630183,CHETAN PATIL,CHETAN JADHAV,BHARAT RATHOD,BUNTY KUNDAPUR,31-Jan-19,DO1890000358,,NA,NA,02-Jan-19,14-Dec-18
6803002839,05-Feb-19,Out Of Warranty,TE_V5,CS170219019,SANOFI,VODODARA,AMD,E001630183,CHETAN PATIL,GILBERT,BHARAT RATHOD,BUNTY KUNDAPUR,20-Feb-19,DO1890000375,,NA,NA,02-Jan-19,14-Dec-18
6803002839,06-Feb-19,Out Of Warranty,AFC,PCCH1218062,SANOFI,VODODARA,AMD,E001630183,CHETAN PATIL,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,20-Feb-19,DO1890000375,,NA,NA,02-Jan-19,14-Dec-18
6803002839,06-Feb-19,Out Of Warranty,TE_V5,CS170219018,SANOFI,VODODARA,AMD,E001630183,CHETAN PATIL,BISWAJIT BEHERA,BHARAT,BUNTY KUNDAPUR,20-Feb-19,DO1890000375,,NA,NA,02-Jan-19,14-Dec-18
6803002839,07-Feb-19,Out Of Warranty,AFC,PCCH0219084,SANOFI,VODODARA,AMD,E001630183,YOGENDER,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,20-Feb-19,DO1890000375,,NA,NA,02-Jan-19,14-Dec-18
6803002840,21-Feb-19,Out Of Warranty,KIOSK PALLET,VFTH0219102,Sanofi,VADODARA,AMD,E001625315,CHETAN PATIL,CHETAN JADHAV,BHARAT RATHOD,BUNTY KUNDAPUR,27-Feb-19,DO1890000382,,NA,NA,03-Jan-19,13-Dec-18
6803002840,21-Feb-19,Out Of Warranty,AFC,PCCH0219094,Sanofi,VADODARA,AMD,E001625315,CHETAN PATIL,CHETAN JADHAV,BHARAT RATHOD,BUNTY KUNDAPUR,26-Feb-19,DO1890000380,,NA,NA,03-Jan-19,13-Dec-18
6803002840,21-Feb-19,Out Of Warranty,TE (V5),CS170219021,Sanofi,VADODARA,AMD,E001625315,CHETAN PATIL,CHETAN JADHAV,BHARAT RATHOD,BUNTY KUNDAPUR,27-Feb-19,DO1890000382,,NA,NA,03-Jan-19,13-Dec-18
6803002841,08-Feb-19,Out Of Warranty,BIS,BISH0219071,Beximco,Bangladesh,ROW,9318011858,Ravi /Raju,Shankar Jha,Rupesh,BUNTY KUNDAPUR,22-Feb-19,681000028,,NA,NA,03-Jan-19,11-Dec-18
6803002847,14-Feb-19,Out Of Warranty,Kiosk (scanner based collation),VFTH0219097,PIRAMAL Ent.,Madhya Pradesh,South,4300030199,Yogendra,DEEP,NP,BUNTY KUNDAPUR,08-Mar-19,DO1890000392,,NA,NA,10-Jan-19,17-Jan-19
6803002847,14-Feb-19,Out Of Warranty,AFC,PCCH0219087,PIRAMAL Ent.,Madhya Pradesh,South,4300030199,Yogendra,DEEP,BHARAT RATHOD,BUNTY KUNDAPUR,11-Mar-19,CO1894000038,,NA,NA,10-Jan-19,17-Jan-19
6803002847,14-Feb-19,Out Of Warranty,360 Degree,360H0219011,PIRAMAL Ent.,Madhya Pradesh,South,4300030199,Yogendra,DEEP,NP,BUNTY KUNDAPUR,08-Mar-19,DO1890000392,,NA,NA,10-Jan-19,17-Jan-19
6803002847,26-Nov-19,Out Of Warranty,KIOSK (PALLET),VFTH1119023,PIRAMAL Ent.,Madhya Pradesh,South,4300030199,Yogendra,DEEP,Nikhil Patel,BUNTY,20-Dec-19,DO1990000235,,NA,NA,10-Jan-19,17-Jan-19
6803002847,26-Nov-19,Out Of Warranty,360 Degree,360H1119003,PIRAMAL Ent.,Madhya Pradesh,South,4300030199,Yogendra,DEEP,Nikhil Patel,BUNTY,20-Dec-19,DO1990000235,,NA,NA,10-Jan-19,17-Jan-19
6803002848,07-Mar-19,Out Of Warranty,TE V - 5,CS170319022,MEDREICH,BANGLORE,South,4550008566,Chetan Patil,GILBERT PEREIRA,BHARAT RATHOD,BUNTY KUNDAPUR,15-Mar-19,DO1890000402,,NA,NA,10-Jan-19,27-Dec-18
6803002849,15-Feb-19,Out Of Warranty,KIOSK,VFTH0219099,HERCON,USA,USA,ACGI NA 6931000021,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,23-Mar-19,681000048,,NA,NA,11-Jan-19,09-Jan-19
6803002849,15-Feb-19,Out Of Warranty,AFC,PCCH0219089,HERCON,USA,USA,ACGI NA 6931000021,CHETAN PATIL,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,23-Mar-19,681000048,,NA,NA,09-Jan-19,09-Jan-19
6803002849,16-Feb-19,Out Of Warranty,"KIOSK, RWORK",VFTH0219100,HERCON,USA,USA,ACG NA 6931000021,CHETAN PATIL,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,23-Mar-19,681000048,,NA,NA,11-Jan-19,09-Jan-19
6803002850,25-Feb-19,Out Of Warranty,PALLET,VFTH0219104,FUTURE PAK,USA,USA,6931000020,Kondiba,Akshay,NP,BUNTY KUNDAPUR,28-Feb-20,681000032,,NA,NA,11-Jan-19,09-Jan-19
6803002850,25-Feb-19,Out Of Warranty,SBC,VFTH0219103,FUTURE PAK,USA,USA,6931000020,Kondiba,Akshay,NP,BUNTY KUNDAPUR,28-Feb-19,681000032,,NA,NA,11-Jan-19,09-Jan-19
